Frequency,Z,?°
0.02 kHz,36.5698 m?,179.909 °
0.04 kHz,36.5797 m?,179.997 °
0.06 kHz,36.6365 m?,179.655 °
0.08 kHz,36.6229 m?,-179.988 °
0.1 kHz,36.5635 m?,-179.995 °
0.12 kHz,36.4858 m?,-179.871 °
0.14 kHz,35.8588 m?,179.812 °
0.16 kHz,35.6347 m?,179.668 °
0.18 kHz,36.1108 m?,179.838 °
0.2 kHz,36.5406 m?,-179.892 °
0.22 kHz,36.623 m?,179.925 °
0.24 kHz,36.6802 m?,179.778 °
0.26 kHz,36.6394 m?,179.824 °
0.28 kHz,36.5315 m?,-179.954 °
0.3 kHz,36.5121 m?,179.966 °
0.32 kHz,36.4481 m?,179.832 °
0.34 kHz,36.4322 m?,179.817 °
0.36 kHz,36.4281 m?,179.854 °
0.38 kHz,36.456 m?,179.936 °
0.4 kHz,36.4212 m?,179.942 °
0.42 kHz,36.4031 m?,179.927 °
0.44 kHz,36.3607 m?,179.91 °
0.46 kHz,36.3571 m?,-179.991 °
0.48 kHz,36.3794 m?,179.998 °
0.5 kHz,36.3759 m?,179.989 °
0.52 kHz,36.3984 m?,-179.957 °
0.54 kHz,36.4062 m?,-179.951 °
0.56 kHz,36.4479 m?,-179.962 °
0.58 kHz,36.5054 m?,-179.929 °
0.6 kHz,36.5075 m?,-179.951 °
0.62 kHz,36.5497 m?,-179.963 °
0.64 kHz,36.5355 m?,-179.933 °
0.66 kHz,36.5397 m?,-179.93 °
0.68 kHz,36.5438 m?,-179.911 °
0.7 kHz,36.5595 m?,-179.932 °
0.72 kHz,36.5293 m?,-179.937 °
0.74 kHz,36.5456 m?,-179.872 °
0.76 kHz,36.5414 m?,179.955 °
0.78 kHz,36.4889 m?,-179.965 °
0.8 kHz,36.4483 m?,-179.98 °
0.82 kHz,36.4484 m?,179.999 °
0.84 kHz,36.4512 m?,-179.967 °
0.86 kHz,36.4385 m?,-179.98 °
0.88 kHz,36.4469 m?,-179.936 °
0.9 kHz,36.43 m?,-179.934 °
0.92 kHz,36.4463 m?,-179.95 °
0.94 kHz,36.4271 m?,-179.908 °
0.96 kHz,36.422 m?,-179.918 °
0.98 kHz,36.3945 m?,-179.927 °
1 kHz,36.411 m?,-179.861 °
2 kHz,36.3479 m?,-179.567 °
3 kHz,36.2107 m?,-179.205 °
4 kHz,36.3644 m?,-178.749 °
5 kHz,35.3618 m?,-178.665 °
6 kHz,36.5798 m?,-178.576 °
7 kHz,36.0888 m?,-177.728 °
8 kHz,35.6693 m?,-177.461 °
9 kHz,35.5918 m?,-176.728 °
10 kHz,35.6615 m?,-176.125 °
11 kHz,36.119 m?,-174.346 °
12 kHz,36.36 m?,-173.667 °
13 kHz,35.7347 m?,-173.095 °
14 kHz,35.6987 m?,-172.699 °
15 kHz,35.2643 m?,-173.279 °
16 kHz,35.5726 m?,-171.741 °
17 kHz,36.1642 m?,-172.097 °
18 kHz,35.9834 m?,-171.698 °
19 kHz,36.0626 m?,-170.92 °
20 kHz,36.2535 m?,-171.243 °
21 kHz,36.3758 m?,-170.569 °
